acceptability,sentence,domain
1,few clues could be found.,IN
1,"The police read the detainees their rights, but not a single one was paying attention.",IN
1,Those Olympic hopefuls should practice diligently daily.,IN
1,Mary should buy some flowers for her mother to arrange.,IN
1,"A businessman will drink a martini to relax, and a health nut, a glass of wine, just to remain healthy.",IN
1,Fred was believed to have wanted to try to dance.,IN
0,John believes to have slept.,IN
1,We consider the men all totally crazy.,IN
1,Carla was shoveling the walk.,IN
1,John did not leave.,IN
1,"Although no one else thinks so, Harry thinks that Sally is innocent.",IN
1,There is a blemish on the end of Jerry's sister's nose.,IN
1,Jason refrained from casting the spell,IN
0,"The more John eats, the tighter keep your mouth shut about it.",IN
1,The dog went crazy.,IN
0,They think she is too much happy.,IN
1,Where did you send the bicycle? To Rome.,IN
0,The man I think that chased Fido returned.,IN
1,What I believe that he was wearing is this hat.,IN
1,We made enough puddings to last for days.,IN
0,The motorist happened the accident.,IN
1,"We like our friends and they like their friends, too.",IN
0,This rock is too heavy for us to try to claim that we picked up.,IN
1,I prefer for the girl to win.,IN
0,Who was for Medea to poison awful?,IN
1,For the girl to put a picture there would surprise you.,IN
0,The twig and the branch broke.,IN
0,John placed the flute the table.,IN
0,"Because did Marianne love Willoughby, she refused to.",IN
0,"Those people will, after the party, not come home.",IN
0,The cat was having eaten.,IN
1,"If you give any senator enough opportunity, he will succumb to corruption.",IN
1,Nora pushed her way through the crowd.,IN
0,Robin arrived all the way at the station.,IN
0,The boy whose uncle and Tom's aunt's grandmother were kissing was furious.,IN
1,Mary is taller than six feet.,IN
1,Tom keeps asking Karen's sister to buy the car.,IN
1,Do you like peanut butter?,IN
1,"Mrs Bennet having taken the others upstairs, Mr Bingley proposed to.",IN
0,What city will Fred say that Mary thinks that John lives?,IN
1,The king kept putting his gold under the bathtub.,IN
0,"It never occurred to Harvey because he is insensitive to other people's desires that, I might want to leave.",IN
1,The students and Professor Swansong are meeting in the park.,IN
1,Who do you think that Mary said that John likes?,IN
1,I know a man who hates me.,IN
1,The teacher set us a problem the answer to which we can find in the textbook.,IN
1,I said that Bonny should do some dances from the Middle East.,IN
0,John is likely to be kept on participants.,IN
1,John coughed.,IN
1,Mary will soon play the violin.,IN
1,I need to have that report on our web page by tomorrow.,IN
1,John hit the ball with a bat.,IN
1,Who did drink the poison?,IN
1,So elegant a solution as you have presented us with can elicit only admiration.,IN
1,What do you think Matt kissed?,IN
1,Ions left the electrode.,IN
1,Jill kicked the ball from home plate to third base.,IN
1,"They can do it, can't they?",IN
1,Brenda and Molly haggled about the party.,IN
1,She would never believe that story.,IN
1,They are dancing.,IN
1,Our neighbor takes his children to school in his car.,IN
1,The horse was ridden.,IN
1,John talked to anybody who came up to him at the party.,IN
1,He kicked the ball.,IN
0,Willy is taller than that Bill is is generally believed.,IN
1,Never had Sir Thomas been so offended.,IN
0,Sam may be had been interrogating by the FBI.,IN
1,A taller man than Bill is here.,IN
1,Harriet alternated folk songs with pop songs.,IN
1,He attributed the fire to a short circuit.,IN
1,She was sent a review copy of the book.,IN
1,"I know I should go to the dentist's, but I just don't want to.",IN
1,Julie felt hot,IN
0,"Sally made Bill laugh, and then José made.",IN
0,There tried to be a fountain in the park.,IN
1,Pat is likely to be examined by the dentist.,IN
0,Mary really appreciates and constantly praises himself and Bill knows it.,IN
1,Sandy sang a song.,IN
1,He I often sees Mary.,IN
1,You would have a reply if you come back tomorrow.,IN
1,I want him to eat asparagus.,IN
0,They praise the dedication in the volunteers.,IN
0,He book,IN
0,The thief chased down the street.,IN
0,What Medea wondered if was the potion was ready,IN
1,Gilgamesh decided not to kill Ishtar,IN
1,He washed himself.,IN
0,The more food Mary knows a man that eats the poorer she gets.,IN
0,I'm going to write to the Game Warden if more than one deer my neighbor brings back.,IN
1,The terrier attacked the burglar and savaged the burglar's ankles.,IN
1,Believing that the world is flat gives one some solace.,IN
1,Jackie chased after the thief.,IN
0,Absolutely an owl hunts mice.,IN
1,I am more angry today than I was yesterday.,IN
1,Harriet interconnected the pieces.,IN
1,It is raining in San Francisco.,IN
1,Janet broke Bill's finger.,IN
1,They elected Graham chairman.,IN
1,I stalked the woods for game.,IN
1,Italy and France touch.,IN
0,"Who had Poseidon run away, because the executioner murdered?",IN
1,Rory might have been eating the muffins.,IN
1,The torpedo sank the boat.,IN
0,Patrick to leave is likely.,IN
0,The average age at which people begin to need eyeglasses vary considerably.,IN
0,John isn't an any more reliable fellow than Bill.,IN
1,I believed that Otto was wearing this hat.,IN
0,Bill is likely John to hit.,IN
1,Mary didn't pick any of the flowers.,IN
0,"Despite of his limited educational opportunities, Abraham Lincoln became one of the greatest intellectuals in the world.",IN
0,"John, who and whose friends you saw, is a fool.",IN
0,Genie intoned the mirror.,IN
1,"John asked me to put the clothes in the cupboard, and to annoy him I really stuffed them there.",IN
1,Aren't I going?,IN
1,Such a scholar as you were speaking of just now is here.,IN
1,Jason thought of defending the dragon,IN
0,A cheerful welcome was beamed by Sandra.,IN
1,They believe the cat to be out of the bag.,IN
1,The wealthy young man bought his secret fiancée that piano.,IN
0,The professor talked us.,IN
1,I cycled around France.,IN
1,All the foxes were hunted by Larry.,IN
1,They didn't leave any food.,IN
0,Which packages didn't Sam pick up which are to be mailed tomorrow until it had stopped raining?,IN
0,Stephen persuaded it to be easy to please Kim.,IN
0,She always clad herself in black.,IN
1,I asked who Medea poisoned.,IN
1,Jane has more nearly as many too many than Mary.,IN
1,John will see which picture of himself?,IN
0,"Will put, this girl in the red coat will put a picture of Bill on your desk before tomorrow.",IN
0,We talked about that he was sick for days.,IN
1,John loaded the truck with bricks.,IN
0,"We'll go together, us.",IN
0,I lifted the table with the books.,IN
0,"Climb to the top, they do climb to the top.",IN
1,The heat melted the ice cream.,IN
0,It was to finish the homework that John tried.,IN
1,The trainer fed the steaks all to the lions.,IN
1,Everyone should be able to defend himself.,IN
1,The senator should not have forgotten the concerns of her constituents.,IN
1,This theorem will take only five minutes to establish that he proved in 1930.,IN
0,They shaved David and Anson.,IN
1,John put the books in a box.,IN
1,These qualities recommended him to Oliver.,IN
1,The flying car hit the tree in the air,IN
1,The jeweller decorated the ring.,IN
1,I don't know what to do.,IN
0,She made such a much better reply.,IN
0,I know a man who hates myself.,IN
1,which city the claim that Philip would invade.,IN
0,Any lion is usually majestic.,IN
0,"You didn't leave, left you?",IN
1,Sally eats the stuff pretty often.,IN
1,Robert is eager to do his homework.,IN
1,"Mary is happy with her work, and John is with his children.",IN
1,This project is manageable.,IN
0,Naughty children spank easily.,IN
1,Jeff was dancing with Sylvia while Amy sat angrily at their table.,IN
1,John tried.,IN
0,Brenda haggled Molly.,IN
1,This book reads well.,IN
1,Those days Bill offered Mary anything he cooked.,IN
0,"The more you eat, you want the more.",IN
1,Michael left Meg,IN
0,That the sun is out was obvious.,IN
1,"He who is without sin among you, let him cast the first stone.",IN
1,Susan rode a bright blue train from New York.,IN
1,To win the prize :would thrill me.,IN
1,Mary solved the problem.,IN
0,The pudding which the man who ordered it said would be tasty was a horror show.,IN
1,David constructed a house out of.,IN
1,Susan whispered the news to Rachel.,IN
1,"Poseidon would run away, if the executioner murdered Hera.",IN
0,Many people were there playing on the beach,IN
0,"He's a man to whom liberty, we could never grant it.",IN
1,John tries to often meet Mary.,IN
1,Most of John's boat has been repainted.,IN
0,"Mary was told to bring something to the party, so she asked Sue what to.",IN
1,"I think that the more you eat, the less you want.",IN
1,John seems to fix the computer.,IN
1,She tried to leave,IN
1,"The more that pictures of himself appear in the news, the more embarrassed John becomes.",IN
1,The umpire called off the game.,IN
1,"As you eat more, you want correspondingly less.",IN
1,"The earth is flat, but will all those who don't believe it please raise their hands?",IN
0,He kept company some girls who had been injured in the wreck.,IN
1,Alison poked the needle into the cloth.,IN
1,We made the claim that Perseus killed the Gorgon.,IN
1,He was hoping for too much.,IN
1,How long did it last?,IN
1,The architect selected a house for the couple.,IN
1,Who DID put the book in the box?,IN
0,Mary has more friends that two.,IN
1,Her indiscretions were made light of.,IN
0,"It is not entirely obvious whether, Mary listens to the Grateful Dead, she gets depressed.",IN
1,Rory ate muffins.,IN
1,Most dragons have been neutered.,IN
0,John is prouder of having gone than John didn't expect me to believe he would be.,IN
1,"Before you make any plans, consult the secretary.",IN
1,Whose car is blocking the entrance to the store?,IN
1,Any soldier should be prepared to die for her country.,IN
0,Dante accused,IN
1,That Harry loves dancing is evidenced by his shiny tap shoes.,IN
1,Didn't that guy who the Game Warden and him had seen a flying saucer crack up?,IN
1,Both Jane and Elizabeth were at home.,IN
1,The analysis of the problem was flawed,IN
1,Which animals appear to have lost their collars?,IN
0,They are afraid people.,IN
0,Someone did Medea poison.,IN
1,The landlord donated a helicopter,IN
1,How did you solve the problem?,IN
1,John paid a dollar for a head of lettuce.,IN
1,I showed few boys any of the books.,IN
1,They believe it to be easy to annoy Ben.,IN
1,Can I keep the screwdriver just like a carpenter keep the screwdriver?,IN
1,John talked to any woman at the party.,IN
1,Time flies like an arrow.,IN
1,John got the book from Bill.,IN
1,The meeting began at 4 P.M.,IN
1,There seems to be a fountain in the park.,IN
1,Angela characterized Shelly as a lifesaver.,IN
1,I should not eat plums.,IN
0,Carol carved at the stone.,IN
0,He could might go,IN
1,What did John want to eat?,IN
0,Whiskey do I drink.,IN
1,It is rumored that he left town.,IN
1,Bill cooked the rice.,IN
1,Everyone hopes that everyone will sleep.,IN
1,I saw the brilliant one with long hair.,IN
1,The chicken was eaten.,IN
1,"Any senator seems to become more corrupt, if he talks to more lobbyists.",IN
0,Here's a razor for it to be announced that you will be shaved with.,IN
1,Harriet swooned.,IN
1,It is to Cleveland that John drove the truck.,IN
0,John liked not Mary.,IN
1,I gave her so much.,IN
1,The horse galloped,IN
0,This building is than that one.,IN
0,The elevator rumbled itself to the ground.,IN
1,What Julie became was fond of Lloyd.,IN
1,It was several young students that the policeman met in the park last night.,IN
1,a The butcher cuts the meat.,IN
1,Jean wants Robert.,IN
1,I twirled the dough into a pretzel.,IN
1,Phyllis dyed the dress.,IN
1,Herman whipped the cream.,IN
1,The cake was eaten.,IN
1,Steve tossed the ball at Anna.,IN
1,"Sam picked those packages up which are to be mailed tomorrow rest might, but he didn't want to do so until it had stopped raining.",IN
1,"Tom wanted to go home, but Peter didn't want to.",IN
0,Tessa sprained Mary 's ankle.,IN
1,We got our car radio stolen twice on holiday.,IN
1,Is the boy who holding the plate can see the girl?,IN
1,Would John hate that!,IN
1,"$100,000 will build a house.",IN
1,There were five tourists in the room apart from myself.,IN
1,Who do you think that Bill believes to be innocent?,IN
0,Who did that Plato loved seem to be known by everyone.,IN
1,Jack is claiming that you won't need it.,IN
0,John and very blue went to the store.,IN
0,"No student, and he wears socks, is a swinger.",IN
0,We investigated bombs in the area.,IN
1,Emily caused Benjamin to see himself in the mirror.,IN
0,"The harder it rains, how much faster a flow that do you see in the river?",IN
0,the book with a red cover of poems from Blackwell by Robert Burns takes a very long time to read.,IN
1,The scene of the movie was in Chicago.,IN
0,We respect Mary's desire for becoming famous.,IN
0,Paintings admire easily.,IN
1,This is the book that we had read.,IN
1,I looked the number up.,IN
1,John is eager to examine the patient.,IN
1,He admires every man.,IN
1,Jessica loaded boxes into the wagon.,IN
1,The boy's loud playing of the piano drove everyone crazy.,IN
1,She doesn't believe much of that story.,IN
1,John didn't talk to a woman.,IN
1,Jessica sprayed the wall with paint.,IN
1,liked ice cream.,IN
1,"The higher the stakes, the lower his expectations.",IN
1,Every man lifted the table.,IN
1,Darin has eaten more squid than John has octopus.,IN
1,Mary wondered which picture of himself Bill saw?,IN
1,Fanny pulled the blanket over her.,IN
1,The builders destroyed the warehouse with explosives.,IN
1,Which attorney will give the closing argument hasn't been decided by them.,IN
1,Harry got to be more of a celebrity.,IN
1,Joe is taller than I think Mary is.,IN
1,"The more that John gets upset by them, the more that stories about him seem to show up in the news.",IN
1,The train got to the station fully.,IN
1,Did John find the solution?,IN
1,This building got taller and taller.,IN
0,I can't remember the name of somebody who had any misgivings.,IN
1,That a review came out yesterday of this article is catastrophic.,IN
1,Mary listens to the Grateful Dead and she gets depressed.,IN
0,I whipped the eggs from a puddle into a froth.,IN
1,Can he not have been working?,IN
1,What Mary did with Bill was sing a song.,IN
1,"Playing with matches is; lots of fun, but doing, so and emptying gasoline from one can to another at the same time is a sport best reserved for arsons.",IN
0,Pat was annoyed by that their parents did nothing to stop it.,IN
1,I wonder if you will come back tomorrow.,IN
1,The president Fred voted for has resigned.,IN
0,A medal was been given to the mayor by the sewer commissioner.,IN
1,Any lawyer could tell you that.,IN
1,Hilda is such a scholar.,IN
1,"Yesterday, the child really kicked a monkey in the street.",IN
1,It will rain tomorrow.,IN
0,Paula swatted the cloth into the fly.,IN
1,In the woods lives an old woman.,IN
1,To whom did John send a book?,IN
1,Tokyo has not loosened trade restrictions.,IN
0,John kept behind the counter.,IN
1,"The more people that you give beer to, the more people get sick.",IN
1,He looked at a book about swimming.,IN
0,It is deadly afraid of flying that John became.,IN
0,This key won't open.,IN
1,The dog flopped in the comer.,IN
0,On whom does Dana believe Chris knows Sandy trusts?,IN
0,Light was made of her indiscretions.,IN
1,Fiona has not eaten the sauteed candy canes.,IN
1,The Shah slept in a bed.,IN
1,Ben can be relied on.,IN
0,I reviewed Joe's attempt to find Holly while you reviewed José's attempt to.,IN
1,That piano was bought for his secret fiancée by the wealthy young man.,IN
1,The amoeba coughed and then it fainted.,IN
1,"Pat has become crazy, and Chris an incredible bore.",IN
1,A solution presented itself yesterday.,IN
0,I'm sure we got any tickets!,IN
1,Susan consented to try to seem to have been kissed.,IN
1,The events have been described well.,IN
1,Poseidon appears to have turned out to have left.,IN
1,On Wednesday Maisie drove her car from Morningside to Leith.,IN
0,Yesterday John talked to any woman.,IN
1,John has taken Bill to the library.,IN
1,That Captain Wentworth married Anne astonished her father.,IN
0,You shouldn't have played with rifles because to have is dangerous.,IN
1,John saw.,IN
1,Frank bought Jane the piano.,IN
1,I know two men who are behind me.,IN
0,The lute which Henry plays and sings madrigals is warped.,IN
1,I have some papers to try to finish grading.,IN
1,We placed the cheese in the refrigerator.,IN
0,We offered her with a job.,IN
1,Mary prefers that her ice cream is in a cone.,IN
0,Heidi dislikes the TV's depiction of herself.,IN
1,Bill sang Sue to sleep.,IN
1,Sally eats caviar more than I had expected.,IN
1,The biggest man in the room said that John danced an Irish jig from County Kerry to County Tipperary on Thursday.,IN
0,"When in came Aunt Norris, Fanny stopped talking.",IN
0,"Fluffy is sick, as surprises me.",IN
1,We loaded onto the bus.,IN
1,Cynthia gobbled the pizza down .,IN
1,There were twenty students at the lecture and every student who was there said it was inspiring.,IN
1,The committee was unanimous in their decision.,IN
0,Cheryl stood the books from Edna.,IN
1,John will have been eating cake enthusiastically.,IN
0,Ellen said to Helen.,IN
0,He does have been eating.,IN
1,There is enough bread for all of you.,IN
1,What proof that he has implicated have you found?,IN
0,It was claimed that by everyone the poison was neutralised,IN
0,We rummaged papers through the desk.,IN
1,Pat became a republican and quite conservative.,IN
0,"It started to rain after Jackie and me, we had finally gotten to our seats.",IN
1,Louis was forgiven by Susan.,IN
1,Dick's claim that semantics is generative is preposterous.,IN
1,Tessa cut herself.,IN
1,The men would have all been working.,IN
1,"His analysis, I never liked.",IN
1,"To find a new mate, go to a dating service.",IN
0,Kiss himself.,IN
1,"Very heavy, this parcel!",IN
0,He kicked herself,IN
1,John spoke to Mary intimately.,IN
0,Cheryl stood the shelf with books.,IN
0,The sun bloomed the roses.,IN
1,Sam gave the cloak to Lee and the magic chalice to Matthew.,IN
1,For him to do that would be a mistake.,IN
0,Gilgamesh doesn't ate the honey,IN
0,The time elapsed the day.,IN
1,The music echoed.,IN
0,Ellen warned for Helen to come.,IN
0,The box gradually contained the ball.,IN
1,Aphrodite did free animals,IN
1,Gloria dozed.,IN
1,The parcel reached John.,IN
1,Paula swatted Deirdre on the back.,IN
1,The DA proved Jones guilty and the Assistant DA will prove Smith.,IN
1,"If you take a dry match and strike it, it lights.",IN
1,"When Bill smokes, all the more does Susan hate him.",IN
1,They wouldn't leave soon.,IN
1,The tree dropped some branches.,IN
0,"I know which book Mag read, and which book Bob asked why you hadn't.",IN
1,Mr Knightley walked into the drawing room.,IN
1,The boys should could all go,IN
1,Oil spread over the sea shore.,IN
1,That Medea murdered Jason didn't surprise anyone.,IN
0,These stories about himself describe John better than any official biography.,IN
0,The dragons were slain all.,IN
0,There was known to everyone.,IN
1,Smith envied Jones his good fortune.,IN
0,John's I stole bike.,IN
1,You or Kerry have perjured yourselves.,IN
0,Tessa sprained.,IN
1,"I was surprised that he stole the watch, in as far as that was a daring thing to do.",IN
0,The hat which I believed the claim that Otto was wearing is red.,IN
0,Himself should decide soon.,IN
1,John talked to any politician who is powerful.,IN
1,You and I are as little alike as a horse and a cow.,IN
1,She sold the car to Sam for five dollars.,IN
1,These points I'm going to ask Bill to make the old geezer take up later.,IN
1,the book of poems and of fiction from Blackwell takes a very long time to read.,IN
1,Jasper wonders which book he should attempt to persuade his students to buy.,IN
1,I am neither an authority on this subject nor trying to portray myself as one.,IN
0,Mary waited for the bus and to go home.,IN
0,Ron asked that the potion was ready,IN
1,"John didn't hit a home run, but I know a woman who did.",IN
1,The red dress with the pink stripes looks good on Sandy.,IN
0,What does who admire?,IN
0,Calvin will could eat the beef waffles.,IN
1,Bill and Kathy married.,IN
1,Tamara poured water over the flowers.,IN
1,And then all the owls go on a mice hunt.,IN
1,I'll work on it if no one else has worked on it.,IN
1,He blew up the building.,IN
0,few evidence was provided.,IN
1,I have often eaten muffins.,IN
0,He hit the ball.,IN
1,The car will be driven.,IN
1,John put his books in the attic.,IN
1,I am hoping to get an invitation and optimistic about my chances.,IN
1,That anybody ever left at all is not known.,IN
0,Who does Phineas know a girl who is behind?,IN
1,Bill bled on the floor.,IN
1,The committee haven't yet made up their mind.,IN
1,Gordie Gillespie still can give a piece of his mind to the umps.,IN
1,"If Emma had left Hartfield, Mr Woodhouse would have been unhappy.",IN
1,"The more people you say that right after the show opens will buy tickets, the happier I'll be.",IN
1,The sidewalk is straddled by the fence.,IN
0,I ran a man who was old down.,IN
1,Did you believe him ever to have made an effort to talk to the student?,IN
1,I asked Anson if he was happy,IN
1,Mickey looked up the reference.,IN
1,Mary has never kissed a man who is taller than John.,IN
1,John can go to the market on his bike on a truck.,IN
1,"I know which book Max read, and which book Oscar didn't.",IN
1,The students felt comfortable in the class.,IN
1,Sharon fainted at the sight of the accident.,IN
1,John tried to make Sam let George ask Bill to keep delivering the mail.,IN
1,Reports the height of the lettering on the covers of which the government prescribes should be abolished.,IN
1,George wrote a volume of poems in Latin for Jane.,IN
1,Frank will eat an apple and Morgan will too.,IN
0,Frank promised the men all to leave.,IN
1,I bought some flowers for Manuel.,IN
1,The shooting of the prisoners shocked me.,IN
0,The cake was have eaten.,IN
1,Many fish are in the sea.,IN
1,"They said Tom would pay up, and pay up I'm sure everybody will tell you that his lawyers expect me to believe he did.",IN
1,she is the mother of John.,IN
0,I put the book from Edna to Sally.,IN
1,Mary left the room angry.,IN
1,John stayed behind the counter.,IN
1,Dracula thought that he was the Prince of Darkness.,IN
1,John promised Bill to leave tomorrow morning.,IN
0,He treats John very shame.,IN
1,Please make yourself comfortable and I'll wash the dishes.,IN
1,It is likely that Patrick left.,IN
0,We all thought he to be unhappy,IN
0,Give the baby the bottle awake.,IN
1,He ought to leave his luggage here.,IN
1,Felicia threw the ball off the bench.,IN
1,I hit the ball.,IN
0,This hat the gloves and were on the table.,IN
0,He is the happiest that that he has ever been is believed.,IN
1,The matter was paid a lot of attention to.,IN
1,Mr Elton handed his wife into the carriage.,IN
1,"Poseidon had escaped, before the executioner arrived.",IN
0,I know a man who Bill saw and liked Mary.,IN
1,We contributed our paycheck to her.,IN
1,Who has drunk my whiskey?,IN
0,I might ate deep fried muffins.,IN
0,I think that learning English to be not all that easy.,IN
1,I have half a dozen too many of these marbles.,IN
1,He could not have been working.,IN
0,The doctor arrived a new actor.,IN
1,Who is clever?,IN
0,The boys and the girls seems happy.,IN
1,Smith inscribed his name under the picture.,IN
1,The bartender gave John some good beers.,IN
0,This hammer won't break.,IN
1,John deposited some money in the bank on Friday.,IN
0,They have no and.,IN
1,I wonder who Mary likes and hopes will win.,IN
0,John wills leave the party early.,IN
1,He should decide soon.,IN
1,Under the bed is a safe place to hide.,IN
0,I talked to Winston about Winston.,IN
0,I went to the movies to not pick the shirts up.,IN
1,The teacher handed the student a book.,IN
1,I want it to remain a secret that Bill left.,IN
1,Linda taped the label and the cover together.,IN
1,The fact that John is snoring is informative.,IN
1,Paula spanked the naughty child.,IN
1,"Lewis sent Sam a bicycle, but it never arrived.",IN
1,Doug removed the scratches from around the sink.,IN
1,This computer was bought for him by his girlfriend.,IN
0,Mary wrote a letter to himself last year.,IN
0,Maxwell isn't half the doctor that his sister is a psychologist and his father was.,IN
1,The umpire called it of.,IN
1,Keep yourself clean!,IN
1,What this parcel is is very heavy.,IN
0,Jean reads never this newspaper.,IN
1,Mary talks to any student.,IN
0,Tom got understood to have asked for a refund.,IN
1,It is this problem that the sooner you solve the more easily you'll satisfy the folks up at corporate headquarters.,IN
1,The lake is not to be camped beside by anybody.,IN
1,I sent him something.,IN
0,Fido is the smarter dog than Spot.,IN
1,There happened a serious accident yesterday.,IN
1,She was always clad in black.,IN
0,The door has seven holes in it and the window.,IN
0,"The more pictures of himself appear in the news, the more likely John is to get arrested.",IN
1,Elizabeth regretted that she had met Wickham.,IN
1,I am more angry than sad.,IN
1,It seems that John is honest.,IN
0,Jill offered the ball at Bob.,IN
1,It's the writer that gets you so involved.,IN
1,This silver polishes itself.,IN
0,Larry all hunted the foxes.,IN
1,Gwen exchanged the dress for a shirt.,IN
1,Squatters lodged in these abandoned buildings.,IN
0,The builders destroyed at the warehouse.,IN
1,"John gave the books to Mary at Christmas, and the records to Sue for her birthday.",IN
1,Pauline smiled her thanks.,IN
1,The umpire called the game off.,IN
0,I've never seen you ate asparagus.,IN
0,John met in the park a student.,IN
1,Mary is often running the marathon.,IN
1,I've never seen a taller man than my mother.,IN
0,I prefer for the girl to will win.,IN
1,The hiker will reach the top of the mountain within an hour.,IN
1,A gun which I had cleaned went off.,IN
1,This flyer differs from that flyer.,IN
1,Water fills the tub.,IN
1,Fred must have both been singing songs and been drinking beer.,IN
0,What was Euclid interested in Plato's description of?,IN
1,John a decidedly taller man than Bill.,IN
1,A lion is usually majestic.,IN
1,John has often kissed Mary.,IN
1,Bill was hit by the baseball.,IN
0,The jeweller copied the ring with the name.,IN
0,She her will put a picture of Bill on your desk before tomorrow.,IN
1,"$ 100,000 will build you a house.",IN
1,John promised Bill to leave.,IN
0,He'll bring me one if he sees a hot dog.,IN
1,I didn't find any bugs in my bed.,IN
1,A description of Aristotle is in the book.,IN
0,Who do you think that would be nominated for the position?,IN
1,Was the piano bought for Jane by Frank?,IN
1,The problem is easy to solve.,IN
1,John's refusal of the offer was shocking.,IN
1,John wagered there to have been a stranger in that haunted house.,IN
0,Who was the book sent by John.,IN
0,I found myself doing need sleep.,IN
1,Almost any lawyer could answer that question.,IN
1,Gilgamesh misses Aphrodite,IN
1,It rained.,IN
1,Would more accountants make any difference to my tax bill?,IN
1,The bed which Tom slept on was hard.,IN
1,Bill slowly recited his lines.,IN
0,I don't know if to agree with him.,IN
1,Bill followed the road into the forest.,IN
0,How have you picked up TNT carelessly?,IN
1,I promised that around midnight he would be there.,IN
0,"Mary's happy about her work, and John's about his children.",IN
1,John rolled the ball down the hill perfectly.,IN
1,Two drops sanitize anything in your house.,IN
1,I like the book that you gave me.,IN
1,Amanda burned the stove black.,IN
1,Anne astonished her father.,IN
0,Rosemary hates.,IN
0,The Gorgon is easy to believe the claim that Perseus slew.,IN
0,Dorothy is needing new shoes.,IN
1,Every restaurant that advertises in any of these papers happens to have four stars in the handbook.,IN
1,"After Henry had done so, Webster touched a sword.",IN
1,Everyone thinks he is smart.,IN
1,Has Bill eaten his tuna?,IN
1,The bag is bulging.,IN
1,Fred will warn Martha that she should claim that her brother is patriotic.,IN
1,The jeweller printed the name on the ring.,IN
1,The train reached the station fully.,IN
0,We contributed her our paycheck.,IN
0,John not liked Mary.,IN
0,That Jason had arrived was obvious infuriated Medea.,IN
1,Bill cooked supper and washed the dishes.,IN
0,Bill was bitten the dog.,IN
0,I washed me.,IN
0,"Immediately, John probably will clearly learn French perfectly.",IN
1,"I'm going out, whatever the weather.",IN
1,John whined that he was hungry.,IN
1,I worked on Sunday in the city on that project without a break.,IN
1,A programme about Euripides is on a Radio 4 tonight.,IN
1,Harry collapsed.,IN
1,Would the men each have been working?,IN
1,The motor that Martha thinks that Joe replaced costs thirty dollars.,IN
0,"The lady singing with a boy is a genius, isn't she?",IN
1,Amanda carried the package from Boston.,IN
1,The cook boned the fish.,IN
1,Larry hunted all the foxes.,IN
0,You will Bob believe.,IN
0,John meets often Mary.,IN
1,John seems to sleep all day.,IN
1,Dana is longing for a sunny day.,IN
0,where place are you living.,IN
1,John was unknown.,IN
1,Aphrodite said he would free the animals and free the animals he will,IN
0,John believes that Fred likes steak that Joe likes pizza.,IN
0,Anson thought that himself was going to the club.,IN
0,Fred knows which politician for Karen to vote for.,IN
1,I think he will eat asparagus.,IN
1,She considers John proud of his work.,IN
1,Her sister hurried.,IN
1,That John is a fool is obvious.,IN
0,Lee went to the store and crazy.,IN
0,I wanted any cake.,IN
1,Who was it obvious that Plato loved?,IN
1,Fred tracked the leak to its source.,IN
0,Any more reliable a man could not be found.,IN
1,John believes himself to be proud of Mary.,IN
1,John learned French perfectly immediately.,IN
1,The big man from New York loves bagels with cream cheese.,IN
1,The soft bread cuts easily.,IN
1,The tuna will have been eaten.,IN
1,Which boy's guardian's employer did we elect president?.,IN
0,Tony broke at the window.,IN
1,John wonders whether to win.,IN
1,Who asked which statue which tourist had taken a photo of?,IN
1,She is proud.,IN
0,How do you wonder which problem to solve?,IN
0,the girls likes yourselves.,IN
1,John thinks that Bill left.,IN
1,Their teaching material is what we are using.,IN
1,Fiona may be here by 5 o'clock.,IN
0,Fabio asked if had Claus run a marathon.,IN
1,I like Mary and she likes me.,IN
1,John deposited some money in the bank.,IN
0,I tried and buy some whiskey.,IN
0,Tony broke herself on the ann.,IN
1,"Whenever Bill smokes, Susan hates him a lot more.",IN
1,John promised Mary to cut the grass.,IN
0,Jennifer craned.,IN
1,She thought it was likely that everyone might fit into the car.,IN
1,"Medea was happy, because she had got the highest marks",IN
1,Four pounds was quite a bit of money in 1950 and it was not easy to come by.,IN
0,I have some papers to grade these exams and.,IN
1,John and the man went to the store.,IN
0,I said this he left,IN
0,I didn't eat any ice cream and any cake.,IN
1,"After Henry had done it, Webster touched a sword.",IN
1,John kept him busy.,IN
1,I was hunting.,IN
1,He has books by several Greek authors.,IN
1,She was sent a review copy of the book by the publisher.,IN
1,I have wanted to know exactly what happened to Rosa Luxemburg for many years.,IN
0,There ran a little boy in the yard.,IN
1,John promise Mary to control himself.,IN
1,John hopes to sleep.,IN
1,The car has been being driven.,IN
1,Susan wanted to sleep.,IN
1,Martha chewed the bread.,IN
0,I heard that John criticized myself.,IN
0,How brave they must believe the claim that you are!,IN
1,No spy betrayed himself.,IN
1,Flora cooks.,IN
0,The general commended that all troops was in dress uniform.,IN
1,"The more you eat, the more you want.",IN
1,has no relative pronoun at all.,IN
1,I loaned a man who was watching the race my binoculars.,IN
1,Sandy sang me a song.,IN
1,Here's a plate for you to make Bob try to begin to force his sister to leave the cookies on.,IN
1,He can simply not have been working.,IN
1,Ellen told a story.,IN
1,This is the paper that we really need to find the linguist who understands.,IN
1,Will George indeed not endorse the treaty?,IN
1,At most three girls saw anything.,IN
1,"On weekdays, Terry eats meat and vegetables, but on weekends, only vegetables.",IN
1,I told Daniel the story.,IN
1,John strived to be successful.,IN
